YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1901,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1902,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1903,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1904,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1905,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1906,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1907,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1908,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1909,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1910,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1911,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1912,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1913,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1914,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1915,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1916,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1917,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1918,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1919,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1920,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1921,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1922,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1923,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1924,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1925,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1926,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1927,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1928,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1929,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1930,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1931,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1932,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1933,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1934,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1935,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1936,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1937,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1938,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1939,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1940,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1941,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1942,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1943,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1944,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1945,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1946,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1947,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1948,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1949,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1950,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1951,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1952,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1953,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1954,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1955,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1956,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1957,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1958,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1959,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1960,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1961,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1962,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1963,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1964,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1965,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1966,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1967,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1968,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1969,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1970,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1971,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1972,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1973,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1974,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1975,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1976,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1977,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1978,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1979,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1980,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1981,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1982,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1983,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1984,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1985,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1986,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1987,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1988,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1989,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1990,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1991,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
